Comment, Designator, Footprint, JLCPCB Part #
100k, R5, R0603 
17-21/BHC-AP1Q2/3T, USR_LED, CHIPLED_0805 
2.2uF, C11, C0603 
2k, R1 R4, R0603 
30k, R8, R0603 
330, R6, R0603 
47K, R7, R0603 
FC-12M32.768KHZ7PF20PPM, Y1, CRYSTAL-SMD-3.2X1.5MM 
GZ1608D300TF, L1, 0603 
MHT170UGCT, PWR, CHIPLED_0805 
SN74AHC1G125DBVR, U2, SOT95P280X140-5N 
